,pearson
ENSG00000159202,0.19025249216235096
ENSG00000206530,0.09344245729540428
ENSG00000180787,-0.017477869802646536
ENSG00000099840,0.034450161672903476
ENSG00000182585,-0.06432770348372441
ENSG00000205086,-0.16160562966484388
ENSG00000107831,0.009229717867539868
ENSG00000205495,0.04031684243275943
ENSG00000109339,-0.03876072161036112
ENSG00000135655,0.019893820512140135
ENSG00000145192,-0.022666524248419802
ENSG00000172733,0.056130519883292165
ENSG00000186918,0.0192499055002175
ENSG00000232258,0.11196611934416506
ENSG00000103226,0.485228050551185
ENSG00000185737,0.007889852212362311
ENSG00000124557,0.06406385305811793
ENSG00000142197,0.0981152504316312
ENSG00000102901,0.026350684402546967
ENSG00000232030,
ENSG00000236126,
ENSG00000100994,0.16214745279686765
ENSG00000115317,0.04992909247612398
ENSG00000143171,-0.05662031290661052
ENSG00000099998,0.05717251630440249
ENSG00000151892,0.01786449962549838
ENSG00000188419,
ENSG00000175198,-0.006442907468468323
ENSG00000197385,-0.0018167293940075935
ENSG00000223953,0.06298214897988255
ENSG00000087077,0.014013569830594028
ENSG00000160318,-0.03974061998483862
ENSG00000164070,0.16759808522877556
ENSG00000189127,0.10954112280935306
ENSG00000125375,0.26941168203721255
ENSG00000184481,
ENSG00000186714,-0.08023550236118637
ENSG00000131771,0.03970204141657503
ENSG00000204511,-0.10133059925826843
ENSG00000163739,0.0028136287972742244
ENSG00000127585,-0.02463393222045658
ENSG00000125388,0.4130277303496451
ENSG00000253910,0.24808984852345864
ENSG00000104499,0.08793450366542145
ENSG00000163735,0.06401687255885463
ENSG00000116095,0.02551043726401258
ENSG00000183549,0.2769676077565978
ENSG00000230178,-0.09191840225144463
ENSG00000120498,
ENSG00000174917,0.07195909786703873
ENSG00000198856,0.032071928054143814
ENSG00000148384,0.2532255201750295
ENSG00000126790,0.5664489521583973
ENSG00000176731,0.17944073494398216
ENSG00000215114,0.18983226915798923
ENSG00000174804,-0.0626643926359254
ENSG00000187773,0.13540277259467942
ENSG00000178982,-0.06135475096981073
ENSG00000168350,0.13009910136703046
ENSG00000178522,0.07830721151905763
ENSG00000204347,0.05871222800638042
ENSG00000100911,0.1599986155963349
ENSG00000189045,
ENSG00000166471,0.12198852676543491
ENSG00000183155,0.12431378526032988
ENSG00000229579,
ENSG00000135446,-0.06811699346048147
ENSG00000183137,0.11802589054295283
ENSG00000021574,0.1977530699199784
ENSG00000075131,0.32693827539628795
ENSG00000105409,0.04459791375521688
ENSG00000160072,0.21990069662832212
ENSG00000163743,0.2772087357877994
ENSG00000134243,-0.09060006747795313
ENSG00000182472,0.22842815140718029
ENSG00000188672,0.41211455009885833
ENSG00000215454,-0.08454618937864525
ENSG00000163629,0.13845498594416367
ENSG00000131495,0.12563378235085393
ENSG00000276747,-0.11802665071290734
ENSG00000122824,
ENSG00000041357,0.30205959491526835
ENSG00000077458,-0.046418888354865295
ENSG00000125257,0.07577130416494564
ENSG00000131126,0.03485749091543745
ENSG00000183840,0.11912332093928477
